30000000;291262;3-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к3;Нагатинская 16 мин. пешком;103;None;None;27 из 33;2012.0;None;None;1 совмещенный;None;на улицу;евроремонт
25500000;310976;2-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к2;Нагорная 5 мин. на транспорте;82;31,5;14;5 из 20;2012.0;17.2-14.3;None;2 раздельных;2 балкона;на улицу и двор;дизайнерский
26800000;209375;3-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к1;Нагатинская 11 мин. пешком;128;54;18;None;None;None;None;None;None;None;None
32000000;305052;3-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к2;Нагатинская 16 мин. пешком;104,9;53,3;15,6;11 из 33;2012.0;21,9-18,4-13;2,7 м;2 совмещенных;None;на улицу и двор;евроремонт
25500000;310976;2-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к2;Нагорная 5 мин. на транспорте;82;31,5;14;5 из 20;2012.0;17.2-14.3;None;2 раздельных;2 балкона;на улицу и двор;дизайнерский
39990000;347739;3-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к3;Нагатинская 16 мин. пешком;115;66,1;17,6;21 из 33;2012.0;34,5-14,8-16,8;3 м;2 совмещенных;None;во двор;дизайнерский
41000000;320313;3-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к2;Нагатинская 12 мин. пешком;128;70;30;None;None;None;None;None;None;None;None
41500000;286207;3-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к2;Нагатинская 12 мин. пешком;145;89;19;None;None;None;None;None;None;None;None
42500000;283333;3-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к2;Нагорная 5 мин. на транспорте;150;80;15;9 из 33;2012.0;None;None;2 совмещенных;None;во двор;косметический
25000000;312500;2-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к3;Нагатинская 10 мин. пешком;80;None;None;18 из 33;2012.0;None;2,8 м;2 раздельных;None;None;евроремонт
21500000;250291;2-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к1;Нагатинская 13 мин. пешком;85,9;34,3;13,9;14 из 24;2012.0;None;2,7 м;1 совмещенный, 1 раздельный;1 лоджия;на улицу;без ремонта
30900000;264103;3-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к2;Нагорная 5 мин. на транспорте;117;96;13;3 из 33;2012.0;21+24+11+10;None;2 совмещенных;None;на улицу и двор;дизайнерский
33850000;338500;3-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к2;Нагатинская 16 мин. пешком;100;63;10;23 из 33;2012.0;19-20-24;None;1 раздельный;1 балкон;None;дизайнерский
41500000;286207;4-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 11к2;Нагорная 5 мин. на транспорте;145;71;18;9 из 33;2012.0;21-17-17-16;None;2 совмещенных;None;во двор;дизайнерский
15500000;358796;1-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 14;Нагатинская 10 мин. пешком;43,2;14,2;12,4;4 из 9;2016.0;None;3 м;1 раздельный;1 лоджия;во двор;дизайнерский
13300000;302273;1-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 14;Нагатинская 15 мин. пешком;44;19,1;19.1;2 из 19;2016.0;None;2,9 м;1 совмещенный;1 лоджия;во двор;без ремонта
21900000;334351;2-комн. квартира;ЮАО; р-н Нагатино-Садовники; 1-й Нагатинский проезд 14;Нагатинская 15 мин. пешком;65,5;37;12,5;16 из 19;2016.0;None;3 м;1 раздельный;1 балкон;None;дизайнерский
55500000;423664;3-комн. квартира;ЦАО; р-н Хамовники; 1-й Неопалимовский пер. 15/7;Парк Культуры 13 мин. пешком;131;88,5;17,3;4 из 7;1997.0;46.1-20.4-22;3 м;1 совмещенный, 1 раздельный;1 балкон;на улицу и двор;косметический
14250000;229839;3-комн. квартира;ЮАО; р-н Даниловский; 1-й Нижний Михайловский проезд 16;Тульская 8 мин. пешком;62;38;8;1 из 9;1974.0;16-13-9;2,64 м;1 раздельный;1 лоджия;во двор;без ремонта
